"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"PAK",2019,"South Asia","Pakistan","PAK",223293280,36.907,28.276,3.62,5,28.9055757994453,0.696146480411465,2.21491765975952,0.94301245,52.5,3.28551548641494,0.824459652346009
"PLW",2019,"East Asia & Pacific","Palau","PLW",17916,80.47,11.2,NA,6,NA,19.2286157721356,NA,7.09453392,56.25,NA,12.1344050011163
"PAN",2019,"Latin America & Caribbean","Panama","PAN",4232532,68.059,18.228,2.375,6,NA,6.05160547781423,3.09329414367676,4.80475616,79.375,NA,3.09505043316861
"PNG",2019,"East Asia & Pacific","Papua New Guinea","PNG",9542486,13.25,26.37,3.322,7,NA,1.35578864340193,NA,1.35623097,60,0.362887828162291,0.782552890305524
"PRY",2019,"Latin America & Caribbean","Paraguay","PRY",6530026,61.879,21.281,2.525,6,71.2221617342433,1.06104676965212,3.48983025550842,3.32046843,94.375,0.973840384070445,1.24066887329392
"PER",2019,"Latin America & Caribbean","Peru","PER",32824861,78.099,18.042,2.242,6,46.9435053754409,2.08489665412022,3.822429895401,3.27750611,95,1.20589146228792,1.73564177469023
"PHL",2019,"East Asia & Pacific","Philippines","PHL",110380804,47.149,22.254,2.805,6,68.8418422585097,2.30117498594757,3.3557915687561,1.69175851,78.75,1.13133132483668,1.32152779028498
"POL",2019,"Europe & Central Asia","Poland","POL",37965475,60.037,9.9,1.44,7,102.688713790566,2.9559180510572,4.67881011962891,4.60206556,93.75,1.97509539032691,7.76885578278686
"PRT",2019,"Europe & Central Asia","Portugal","PRT",10286263,65.764,8.4,1.43,6,86.5647174091784,4.30025203399647,4.63002014160156,5.78202772,97.5,1.37469631433049,4.33244804259817
"PRI",2019,"Latin America & Caribbean","Puerto Rico","PRI",3193694,93.576,6.4,0.982,6,107.571456836722,NA,NA,NA,81.25,NA,NA
"QAT",2019,"Middle East & North Africa","Qatar","QAT",2807235,99.188,10.743,1.834,6,90.0463755501859,-1.59472537646872,2.80378007888794,2.72214365,29.375,NA,31.8772030129291
"ROU",2019,"Europe & Central Asia","Romania","ROU",19371648,54.084,10.3,1.77,6,84.5030610232464,2.93423089654186,3.56695008277893,4.60021067,90.625,1.83559871426307,3.81706295716296
"RUS",2019,"Europe & Central Asia","Russian Federation","RUS",144406261,74.587,10.1,1.504,7,49.2287536619033,1.88851731564914,3.50932550430298,3.45416045,73.125,3.86033750437073,11.7971941673637
